SAMPLE RESULTS,,,,,,,,,,,
Sample ID,Method,Target,Result,Quantitation Limit,Units,Notes,,,,,
2173,ELISA,Microcystin/Nod.,0.21,0.15,µg/L,,,,,,
,,,,,,,,,,,
2174,ELISA,Microcystin/Nod.,0.39,0.15,µg/L,,,,,,
,,,,,,,,,,,
2175,QPCR,Microcystin,"7,997",100,copies/mL,,,,,,
,,,,,,,,,,,
2176,QPCR,Microcystin,"13,145",100,copies/mL,,,,,,
,,,,,,,,,,,
2177,QPCR,Anatoxin-a,ND,100,copies/mL,U,,,,,
2177,QPCR,Cylindrospermopsin,ND,100,copies/mL,U,,,,,
2177,QPCR,Microcystin,ND,100,copies/mL,U,,,,,
2177,QPCR,Saxitoxin,ND,100,copies/mL,U,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Page 3 of 5,,,,
,"Bend Genetics, LLC",,,Project:,Big Valley Rancheria,,,,,,
,"107 Scripps Drive, Ste. 210",,,,Analysis for Toxigenic Cyanobacteria,,,,,,
,"Sacramento, CA 95825",,,Project #:,HABS/317,,,,,,
,Tel: (916) 550-1048,,,Reported:,3/30/2023 15:00,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MICROSCOPY RESULTS - Identification of CyanoHABs,,,,,,,,,,,
Sample ID,Dominant,Sub-dominant,Also present,,Notes,,,,,,
2177,Microcystis,,,This sample contained a low amount of Microcystis sp.; no other cyanobacteria were observed. The top photomicrograph was taken under 40X magnification and the lower photomicrograph was taken under 400X magnifiation.,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Page 4 of 5,,,,
,"Bend Genetics, LLC",,,Customer:,Big Valley Rancheria,,,,,,
,"107 Scripps Drive, Ste. 210",,,,Analysis for Toxigenic Cyanobacteria,,,,,,
,"Sacramento, CA 95825",,,Project #:,HABS/317,,,,,,
,Tel: (916) 550-1048,,,Reported:,3/30/2023 15:00,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
QUALITY CONTROL,,,,,,,,,,,
Method,   Analyte,Result,Qualifiers / Comments,Units,Spike Level,%REC,%REC Limits,,,,
ELISA,MC - Blank,ND,U,µg/L,0,,,,,,
ELISA,MC - Positive,0.79,,µg/L,0.75,105.7,70-130,,,,
ELISA,MC - Matrix Sp,1.20,,µg/L,1.00,119.7,70-130,,,,
,,,,,,,,,,,
QPCR,anaC - Blank,ND,U,copies/mL,0,,,,,,
QPCR,cyrA - Blank,ND,U,copies/mL,0,,,,,,
QPCR,mcyE - Blank,ND,U,copies/mL,0,,,,,,
QPCR,mcyE – Spike,"53,488",,copies/mL,"50,000",107.0,70-130,,,,
QPCR,sxtA - Blank,ND,U,copies/mL,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
QUALIFIERS/COMMENTS/NOTES,,,,,,,,,,,
C1,The reported concentration for this analyte is below the quantification limit.,,,,,,,,,,
C2,The reported concentration for this analyte is above the calibration range of the instrument.,,,,,,,,,,
J,The reported result for this analyte should be considered an estimated value.,,,,,,,,,,
U,Undetected,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Page 5 of 5,,,,
